character,count,codepoints,unicode_names
်,2426400,U+103A,MYANMAR SIGN ASAT
ု,1184589,U+102F,MYANMAR VOWEL SIGN U
က,956054,U+1000,MYANMAR LETTER KA
ာ,932806,U+102C,MYANMAR VOWEL SIGN AA
တ,836120,U+1010,MYANMAR LETTER TA
ၚ,717171,U+105A,MYANMAR LETTER MON NGA
ိ,700180,U+102D,MYANMAR VOWEL SIGN I
မ,621192,U+1019,MYANMAR LETTER MA
ေ,619930,U+1031,MYANMAR VOWEL SIGN E
ပ,607235,U+1015,MYANMAR LETTER PA
န,539113,U+1014,MYANMAR LETTER NA
ံ,510551,U+1036,MYANMAR SIGN ANUSVARA
ဂ,499153,U+1002,MYANMAR LETTER GA
သ,440354,U+101E,MYANMAR LETTER SA
ရ,434505,U+101B,MYANMAR LETTER RA
္,421061,U+1039,MYANMAR SIGN VIRAMA
ွ,408534,U+103D,MYANMAR CONSONANT SIGN MEDIAL WA
ဲ,382740,U+1032,MYANMAR VOWEL SIGN AI
အ,357147,U+1021,MYANMAR LETTER A
လ,344546,U+101C,MYANMAR LETTER LA
ဒ,313109,U+1012,MYANMAR LETTER DA
ဝ,308771,U+101D,MYANMAR LETTER WA
ှ,269027,U+103E,MYANMAR CONSONANT SIGN MEDIAL HA
ဍ,251488,U+100D,MYANMAR LETTER DDA
း,243848,U+1038,MYANMAR SIGN VISARGA
ဟ,241476,U+101F,MYANMAR LETTER HA
ၠ,194869,U+1060,MYANMAR CONSONANT SIGN MON MEDIAL LA
စ,186383,U+1005,MYANMAR LETTER CA
ဗ,184106,U+1017,MYANMAR LETTER BA
ဵ,178101,U+1035,MYANMAR VOWEL SIGN E ABOVE
ြ,177766,U+103C,MYANMAR CONSONANT SIGN MEDIAL RA
၊,177721,U+104A,MYANMAR SIGN LITTLE SECTION
ၞ,172473,U+105E,MYANMAR CONSONANT SIGN MON MEDIAL NA
ခ,146299,U+1001,MYANMAR LETTER KHA
ၟ,142230,U+105F,MYANMAR CONSONANT SIGN MON MEDIAL MA
။,139648,U+104B,MYANMAR SIGN SECTION
ဳ,132838,U+1033,MYANMAR VOWEL SIGN MON II
ဇ,128140,U+1007,MYANMAR LETTER JA
ါ,125412,U+102B,MYANMAR VOWEL SIGN TALL AA
ီ,123751,U+102E,MYANMAR VOWEL SIGN II
ျ,122369,U+103B,MYANMAR CONSONANT SIGN MEDIAL YA
ယ,115669,U+101A,MYANMAR LETTER YA
ည,108256,U+100A,MYANMAR LETTER NNYA
ဴ,104365,U+1034,MYANMAR VOWEL SIGN MON O
ူ,97135,U+1030,MYANMAR VOWEL SIGN UU
ထ,68617,U+1011,MYANMAR LETTER THA
ဘ,62933,U+1018,MYANMAR LETTER BHA
ဏ,53179,U+100F,MYANMAR LETTER NNA
ဓ,52942,U+1013,MYANMAR LETTER DHA
ၜ,46125,U+105C,MYANMAR LETTER MON BBA
ဖ,44108,U+1016,MYANMAR LETTER PHA
ဆ,41726,U+1006,MYANMAR LETTER CHA
၁,35500,U+1041,MYANMAR DIGIT ONE
၂,28165,U+1042,MYANMAR DIGIT TWO
၀,23094,U+1040,MYANMAR DIGIT ZERO
၃,17256,U+1043,MYANMAR DIGIT THREE
ဥ,16498,U+1025,MYANMAR LETTER U
ဉ,13963,U+1009,MYANMAR LETTER NYA
၅,12069,U+1045,MYANMAR DIGIT FIVE
၉,12004,U+1049,MYANMAR DIGIT NINE
၄,11951,U+1044,MYANMAR DIGIT FOUR
ဌ,11531,U+100C,MYANMAR LETTER TTHA
ဿ,11221,U+103F,MYANMAR LETTER GREAT SA
ဋ,11035,U+100B,MYANMAR LETTER TTA
၈,10635,U+1048,MYANMAR DIGIT EIGHT
၆,9476,U+1046,MYANMAR DIGIT SIX
၇,8440,U+1047,MYANMAR DIGIT SEVEN
့,6903,U+1037,MYANMAR SIGN DOT BELOW
ဣ,6162,U+1023,MYANMAR LETTER I
ဃ,5374,U+1003,MYANMAR LETTER GHA
ဩ,4404,U+1029,MYANMAR LETTER O
ဠ,4258,U+1020,MYANMAR LETTER LLA
ဨ,3780,U+1028,MYANMAR LETTER MON E
ၝ,3214,U+105D,MYANMAR LETTER MON BBE
ၛ,1578,U+105B,MYANMAR LETTER MON JHA
ဦ,1263,U+1026,MYANMAR LETTER UU
၏,611,U+104F,MYANMAR SYMBOL GENITIVE
ၐ,415,U+1050,MYANMAR LETTER SHA
ဎ,262,U+100E,MYANMAR LETTER DDHA
၍,198,U+104D,MYANMAR SYMBOL COMPLETED
၌,138,U+104C,MYANMAR SYMBOL LOCATIVE
ဧ,122,U+1027,MYANMAR LETTER E
ႝ,108,U+109D,MYANMAR VOWEL SIGN AITON AI
ၑ,90,U+1051,MYANMAR LETTER SSA
ဤ,55,U+1024,MYANMAR LETTER II
၎,45,U+104E,MYANMAR SYMBOL AFOREMENTIONED
ဈ,40,U+1008,MYANMAR LETTER JHA
ႅ,19,U+1085,MYANMAR VOWEL SIGN SHAN E ABOVE
ႇ,10,U+1087,MYANMAR SIGN SHAN TONE-2
ၤ,5,U+1064,MYANMAR TONE MARK SGAW KAREN KE PHO
ႃ,4,U+1083,MYANMAR VOWEL SIGN SHAN AA
ႜ,3,U+109C,MYANMAR VOWEL SIGN AITON A
ၢ,2,U+1062,MYANMAR VOWEL SIGN SGAW KAREN EU
ဢ,2,U+1022,MYANMAR LETTER SHAN A
ဪ,2,U+102A,MYANMAR LETTER AU
ႆ,2,U+1086,MYANMAR VOWEL SIGN SHAN FINAL Y
ႈ,2,U+1088,MYANMAR SIGN SHAN TONE-3
႓,2,U+1093,MYANMAR SHAN DIGIT THREE
ၣ,1,U+1063,MYANMAR TONE MARK SGAW KAREN HATHI
႔,1,U+1094,MYANMAR SHAN DIGIT FOUR
ၨ,1,U+1068,MYANMAR VOWEL SIGN WESTERN PWO KAREN UE
ၪ,1,U+106A,MYANMAR SIGN WESTERN PWO KAREN TONE-2
ၓ,1,U+1053,MYANMAR LETTER VOCALIC RR
ၶ,1,U+1076,MYANMAR LETTER SHAN KHA
ၽ,1,U+107D,MYANMAR LETTER SHAN PHA
႐,1,U+1090,MYANMAR SHAN DIGIT ZERO
ႏ,1,U+108F,MYANMAR SIGN RUMAI PALAUNG TONE-5
ၵ,1,U+1075,MYANMAR LETTER SHAN KA
႕,1,U+1095,MYANMAR SHAN DIGIT FIVE
ၾ,1,U+107E,MYANMAR LETTER SHAN FA
ႄ,1,U+1084,MYANMAR VOWEL SIGN SHAN E
